"","v1","date","hosp_0_10","hosp_11_17","hosp_18_24","hosp_25_34","hosp_35_44","hosp_45_54","hosp_55_64","hosp_65"
"1",1,"2021-08-07",309,222,646,1229,1754,2563,3595,8920
"2",1,"2021-08-08",309,222,646,1229,1757,2564,3599,8922
"3",1,"2021-08-09",309,223,649,1238,1768,2573,3618,8948
"4",1,"2021-08-10",320,226,652,1245,1789,2601,3644,8985
"5",1,"2021-08-11",321,226,655,1258,1796,2618,3671,9019
"6",1,"2021-08-14",327,230,667,1288,1820,2662,3718,9125
"7",1,"2021-08-15",327,231,666,1288,1820,2664,3719,9128
"8",1,"2021-08-16",330,232,672,1301,1830,2676,3738,9163
"9",1,"2021-08-17",330,232,684,1315,1857,2701,3794,9240
"10",1,"2021-08-18",340,240,687,1331,1871,2726,3819,9271
"11",1,"2021-08-19",341,241,689,1338,1877,2736,3837,9297
"12",1,"2021-08-20",342,243,692,1344,1881,2747,3856,9318
"13",1,"2021-08-21",342,243,697,1355,1896,2769,3875,9368
"14",1,"2021-08-30",365,254,715,1398,1952,2881,3996,9609
"15",1,"2021-08-31",371,254,720,1410,1962,2905,4025,9653
"16",1,"2021-09-01",387,295,793,1584,2221,3333,4630,10903
"17",1,"2021-09-03",396,299,796,1602,2250,3363,4670,10984
"18",1,"2021-09-07",398,302,799,1614,2258,3376,4694,11032
"19",1,"2021-09-08",406,305,805,1633,2279,3408,4734,11095
"20",1,"2021-09-10",412,313,813,1654,2303,3450,4789,11168
"21",1,"2021-09-11",417,317,813,1658,2309,3462,4796,11180
